date,callsign,flight_number,icao_address,ac_type_icao,aircraft_role,tail_number,airline_icao,airline_iata,airline_name,departure_airport_icao,arrival_airport_icao,departure_airport_iata,arrival_airport_iata,departure_scheduled_time,arrival_scheduled_time
2022-11-01,AFL1730,SU1730,151DAD,B77W,PAX,RA-73133,AFL,SU,Aeroflot Russian Airlines,UUEE,UHPP,SVO,PKC,2022-11-01 14:10:00.000000 UTC,2022-11-01 22:45:00.000000 UTC
2022-11-01,SDM6881,FV6881,151DE6,B738,PAX,RA-73190,SDM,FV,Rossiya - Russian Airlines,UNKL,UIII,KJA,IKT,2022-11-01 02:10:00.000000 UTC,2022-11-01 04:05:00.000000 UTC
2022-11-01,SDM6289,FV6289,1.51E+42,B773,PAX,RA-73280,SDM,FV,Rossiya - Russian Airlines,UUEE,UHMM,SVO,GDX,2022-11-01 17:00:00.000000 UTC,2022-11-02 00:30:00.000000 UTC
2022-11-01,SBI3260,S73260,151ECA,A320,PAX,RA-73418,SBI,S7,S7 Airlines,UAFO,UUDD,OSS,DME,2022-11-01 01:45:00.000000 UTC,2022-11-01 06:35:00.000000 UTC
2022-11-01,SBI1015,S71015,151EEB,A20N,PAX,RA-73451,SBI,S7,S7 Airlines,UUDD,ULLI,DME,LED,2022-11-01 14:40:00.000000 UTC,2022-11-01 16:20:00.000000 UTC
2022-11-01,AFL029,SU29,152010,A320,PAX,RA-73744,AFL,SU,Aeroflot Russian Airlines,ULLI,UUEE,LED,SVO,2022-11-01 19:00:00.000000 UTC,2022-11-01 20:35:00.000000 UTC
2022-11-01,SVR2799,U62799,152051,A320,PAX,RA-73809,SVR,U6,Ural Airlines,URSS,UTDL,AER,LBD,2022-11-01 09:10:00.000000 UTC,2022-11-01 12:35:00.000000 UTC
2022-11-01,AZO663,A4663,155BF7,SU95,PAX,RA-89079,AZO,A4,Azimuth Airlines,URMM,USCM,MRV,MQF,2022-10-31 22:40:00.000000 UTC,2022-11-01 01:30:00.000000 UTC
2022-11-01,RWZ3021,WZ3021,155C60,SU95,PAX,RA-89184,RWZ,WZ,Red Wings Airlines,URMM,HEGN,MRV,HRG,2022-11-01 22:00:00.000000 UTC,2022-11-02 01:40:00.000000 UTC
2022-11-01,DLA35E,EN8050,3003AD,E195,PAX,I-ADJM,DLA,EN,Air Dolomiti,EDDF,LOWI,FRA,INN,2022-11-01 07:50:00.000000 UTC,2022-11-01 09:00:00.000000 UTC
